Num_of_Loan,Payment_of_Min_Amount,Credit_History_Age,Num_Bank_Accounts,Delay_from_due_date,Changed_Credit_Limit,Monthly_Inhand_Salary,Num_Credit_Card,Amount_invested_monthly,Num_of_Delayed_Payment,Total_EMI_per_month,Payment_Behaviour,Age,Interest_Rate,Num_Credit_Inquiries,Outstanding_Debt,Credit_Mix,Annual_Income,Credit_Score
4,No,265,3,3,11.27,1824.8433333333328,4,80.41529543900253,7,49.57494921489417,High_spent_Small_value_payments,23,3,4.0,809.98,Missing,19114.12,0
4,No,219,3,-1,11.27,3093.745000000001,4,118.28022162236736,14,49.57494921489417,Low_spent_Large_value_payments,23,3,4.0,809.98,Good,19114.12,0
4,No,268,3,5,6.27,3093.745000000001,4,199.4580743910713,4,49.57494921489417,Low_spent_Small_value_payments,23,3,4.0,809.98,Good,19114.12,0
4,No,269,3,6,11.27,1824.8433333333328,4,41.420153086217326,14,49.57494921489417,High_spent_Medium_value_payments,23,3,4.0,809.98,Good,19114.12,0
4,No,271,3,3,11.27,1824.8433333333328,4,178.3440674122349,8,49.57494921489417,Low_spent_Small_value_payments,23,3,4.0,809.98,Good,19114.12,0
4,No,219,3,3,11.27,1824.8433333333328,4,24.785216509052056,6,49.57494921489417,High_spent_Medium_value_payments,23,3,4.0,809.98,Good,19114.12,0
1,No,319,2,3,5.42,3037.986666666666,4,104.291825168246,4,18.816214573128885,Low_spent_Small_value_payments,28,6,2.0,605.03,Good,34847.84,0
1,No,320,2,7,7.42,3037.986666666666,4,40.39123782853101,1,18.816214573128885,High_spent_Large_value_payments,28,6,2.0,605.03,Good,34847.84,0
1,No,322,2,3,5.42,3093.745000000001,4,99.30622796053304,3,18.816214573128885,Low_spent_Medium_value_payments,28,6,2.0,605.03,Good,34847.84,0
1,No,324,2,3,5.42,3037.986666666666,4,43.47719014435575,0,18.816214573128885,High_spent_Large_value_payments,28,6,2.0,605.03,Good,34847.84,0
1,Missing,325,2,3,5.42,3093.745000000001,4,70.10177420755677,4,18.816214573128885,High_spent_Medium_value_payments,28,6,2.0,605.03,Good,34847.84,0
3,No,214,1,13,7.1,12187.22,5,232.86038375993544,6,246.9923194537421,High_spent_Small_value_payments,34,8,3.0,1303.01,Good,143162.64,0
3,No,215,1,8,11.1,3093.745000000001,5,10000.0,7,246.9923194537421,High_spent_Small_value_payments,34,8,6.0,1303.01,Good,143162.64,0
3,No,220,1,8,7.1,12187.22,5,10000.0,6,246.9923194537421,High_spent_Small_value_payments,34,8,3.0,1303.01,Good,143162.64,0
1,No,208,2,5,1.99,2612.4908333333333,5,124.88181990234848,3,16.415451659824875,Low_spent_Small_value_payments,54,4,4.0,632.46,Good,30689.89,0
1,No,212,2,5,-3.01,2612.4908333333333,5,84.95284817115969,6,16.415451659824875,High_spent_Small_value_payments,55,4,4.0,632.46,Missing,30689.89,0
1,No,213,2,5,1.99,2612.4908333333333,5,71.28367488286933,14,16.415451659824875,Low_spent_Large_value_payments,55,4,4.0,632.46,Good,30689.89,0
-100,No,214,2,4,1.99,2612.4908333333333,5,125.61725053231268,9,16.415451659824875,High_spent_Small_value_payments,55,4,4.0,632.46,Good,30689.89,0
0,Yes,368,7,5,2.58,2853.3091666666664,5,276.72539431736266,14,0.0,!@9#%8,21,5,4.0,943.86,Standard,35547.71,0
0,Missing,369,7,9,2.58,3093.745000000001,5,74.44364104999623,14,0.0,High_spent_Medium_value_payments,21,5,4.0,943.86,Standard,35547.71,0
-100,Yes,370,7,5,2.58,2853.3091666666664,5,173.13865100158367,12,0.0,Low_spent_Medium_value_payments,21,5,4.0,943.86,Standard,35547.71,0
0,Yes,371,7,1,2.58,2853.3091666666664,5,96.78548508587444,15,0.0,High_spent_Medium_value_payments,21,5,4.0,943.86,Missing,35547.71,0
0,Yes,374,7,10,2.58,2853.3091666666664,5,181.0119827315892,15,0.0,Low_spent_Small_value_payments,21,5,4.0,943.86,Standard,35547.71,0
-100,Yes,375,7,1,2.58,2853.3091666666664,5,181.3309009618692,15,0.0,High_spent_Small_value_payments,21,5,4.0,943.86,Standard,35547.71,0
0,No,219,4,12,10.14,3093.745000000001,1288,98.67440994166124,10,15015.0,High_spent_Large_value_payments,31,8,2.0,548.2,Good,73928.46,0
0,Missing,384,4,8,10.14,5988.705000000001,5,172.93921446875606,7,0.0,Low_spent_Medium_value_payments,31,8,2.0,548.2,Good,73928.46,0
0,No,386,4,8,10.14,5988.705000000001,5,618.2023912505837,7,0.0,Low_spent_Small_value_payments,31,8,2.0,548.2,Good,73928.46,0
0,No,387,4,11,10.14,5988.705000000001,5,177.95183568608738,7,0.0,Low_spent_Large_value_payments,31,5318,2.0,548.2,Missing,73928.46,0
0,No,389,4,8,9.14,5988.705000000001,5,348.5093995125948,4,0.0,High_spent_Small_value_payments,31,8,2.0,548.2,Missing,73928.46,0
0,No,390,4,8,10.14,5988.705000000001,5,42.63559025189578,7,0.0,!@9#%8,31,8,6.0,548.2,Good,73928.46,0
2,No,368,0,-1,15.34,11242.783333333333,1,698.8732707169384,2,137.6446054014217,High_spent_Small_value_payments,34,8,4.0,352.16,Good,131313.4,0
2,No,371,0,0,9.34,10469.207759388815,1,263.3789089320552,4,32662.0,High_spent_Large_value_payments,34,8,4.0,352.16,Good,131313.4,0
-100,No,372,0,0,11.34,3093.745000000001,1,86.56638801207531,3,911.2201793459374,High_spent_Large_value_payments,34,8,4.0,352.16,Good,131313.4,0
2,No,373,0,0,9.34,3093.745000000001,1,930.3918977796664,2,911.2201793459374,!@9#%8,34,8,4.0,352.16,Good,10909427.0,0
3,Missing,219,8,30,17.13,3093.745000000001,7,162.4410091967751,11,70.47833267207261,Low_spent_Large_value_payments,7580,15,5.0,1704.18,Standard,34081.38,1
3,Yes,177,8,31,17.13,3093.745000000001,7,199.7207654954979,14,70.47833267207261,Low_spent_Large_value_payments,30,15,5.0,1704.18,Standard,34081.38,1
3,Yes,178,8,34,21.13,2611.115,7,220.5521919291672,14,70.47833267207261,Low_spent_Small_value_payments,30,15,5.0,1704.18,Missing,34081.38,1
-100,Yes,180,8,30,18.13,2611.115,7,135.92568154608836,14,70.47833267207261,!@9#%8,30,15,5.0,1704.18,Standard,34081.38,0
3,Yes,182,8,30,17.13,2611.115,7,29.32636371091455,14,70.47833267207261,High_spent_Medium_value_payments,30,15,9.0,1704.18,Missing,34081.38,1
-100,No,256,2,13,8.24,9843.8675,5,215.19351594560425,11,226.8927919215432,High_spent_Small_value_payments,23,7,3.0,1377.74,Good,114838.41,0
3,Missing,258,2,11,9.4,3093.745000000001,5,470.3857956796373,11,226.8927919215432,High_spent_Small_value_payments,23,7,3.0,1377.74,Good,114838.41,0
3,No,259,2,11,8.24,3093.745000000001,5,225.08204945419,14,226.8927919215432,!@9#%8,23,7,8.0,1377.74,Good,114838.41,0
